HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
2918.99.43,29189943,,,,"Aromatic carboxylic acids with add'l oxygen function and their anhydrides, halide, etc deriv described in add U.S. note 3 to sect VI, nesoi.",0.1,0.25
2918.99.47,29189947,,,,"Other aromatic carboxylic acids with add'l oxygen function and their anhydrides, halide, etc deriv (exclud goods in add U.S. note 3 to sec VI).",0.1,0.25
2918.99.50,29189950,,,,"Nonaromatic carboxylic acids with additional oxygen function, and their derivatives, nesoi.",0.1,0.25
2919.10.00,29191000,,,,"Tris (2,3-dibromopropyl phosphate).",0.1,0.25
2919.90.15,29199015,,,,Triphenyl phosphate plasticizers.,0.1,0.25
2919.90.25,29199025,,,,Other aromatic plasticizers.,0.1,0.25
2919.90.30,29199030,,,,"Aromatic phosphoric esters and their salts, including lactophosphates, and their derivatives, not used as plasticizers.",0.1,0.25
2919.90.50,29199050,,,,"Nonaromatic phosphoric esters and their salts, including lactophosphates, and their derivatives.",0.1,0.25
2920.11.00,29201100,,,,Parathion (ISO) and parathion-methyl (ISO) (methyl-parathion).,0.1,0.25
2920.19.10,29201910,,,,"O,O-Dimethyl-O-(4-nitro-m-tolyl)-phosphorothioate (Fenitrothion).",0.1,0.25
2920.19.40,29201940,,,,"Other aromatic thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulfonated, nitrated or nitrosated derivatives.",0.1,0.25
2920.19.50,29201950,,,,"Nonaromatic phosphorothioates, their salts and halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi.",0.1,0.25
2920.21.00,29202100,,,,Dimethyl phosphite.,0.1,0.25
2920.22.00,29202200,,,,Diethyl phosphite.,0.1,0.25
2920.23.00,29202300,,,,Trimethyl phosphite.,0.1,0.25
2920.24.00,29202400,,,,Triethyl phosphite.,0.1,0.25
2920.29.00,29202900,,,,"Other phosphite esters and their salts; their haolgenated, sulfonated, nitrated or nitrosated derivatives.",0.1,0.25
2920.30.00,29203000,,,,Endosulfan (ISO).,0.1,0.25
2920.90.10,29209010,,,,"Aromatic pesticides of esters of other inorganic acids (excluding hydrogen halides), their salts and their derivatives.",0.1,0.25
2920.90.20,29209020,,,,"Aromatic esters of other inorganic acids (excluding hydrogen halides) their salts and their derivatives, nesoi.",0.1,0.25
2920.90.51,29209051,,,,"Nonaromatic esters of inorganic acids of nonmetals and their salts and derivatives, excluding esters of hydrogen halides, nesoi.",0.1,0.25
2921.11.00,29211100,,,,"Methylamine, di- or trimethylamine, and their salts.",0.1,0.25
2921.12.01,29211201,,,,"2-(N,N-Dimethylamino)ethyl chloride hydrochloride.",0.1,0.25
2921.13.00,29211300,,,,"2-(N,N-Diethylamino)ethyl chloride hydrochloride.",0.1,0.25
2921.14.00,29211400,,,,"2-(N,N,-Diisopropylamino)ethyl chloride hydrochloride.",0.1,0.25
2921.19.11,29211911,,,,"Mono- and triethylamines; mono-, di-, and tri(propyl- and butyl-) monoamines; salts of any of the foregoing.",0.1,0.25
2921.19.31,29211931,,,,3-Amino-3-methyl-1-butyne; (Dimethylamino)isopropyl chloride hydrochloride.,0.1,0.25
2921.19.61,29211961,,,,"N,N-Dialkyl (methyl, ethyl, N-Propyl or Isopropyl)-2-Chloroethylamines and their protonated salts; Acylcic monoamines and their derivatives, nesoi.",0.1,0.25
2921.21.00,29212100,,,,Ethylenediamine and its salts.,0.1,0.25
2921.22.05,29212205,,,,Hexamethylenediamine adipate (Nylon salt).,0.1,0.25
2921.22.10,29212210,,,,"Hexamethylenediamine and its salts (except Nylon salt), derived in whole or in part from adipic acid.",0.1,0.25
2921.22.50,29212250,,,,"Hexamethylenediamine and its salts (except Nylon salt), not derived in whole or in part from adipic acid.",0.1,0.25
2921.29.00,29212900,,,,"Acyclic polyamines, their derivatives and salts, other than ethylenediamine or hexamethylenediamine and their salts.",0.1,0.25
2921.30.05,29213005,,,,"1,3-Bis(aminoethyl)cyclohexane.",0.1,0.25
2921.30.10,29213010,,,,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines, derivatives and salts, from any aromatic compound desc in add U.S. note 3, sec. VI.",0.1,0.25
2921.30.30,29213030,,,,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines and their derivative, deriv from any aromatic cmpd (excl goods in add U.S. note 3 sec VI.",0.1,0.25
2921.30.50,29213050,,,,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives and salts, from any nonaromatic compounds.",0.1,0.25
2921.41.10,29214110,,,,Aniline.,0.1,0.25
2921.41.20,29214120,,,,Aniline salts.,0.1,0.25
2921.42.10,29214210,,,,"N,N-Dimethylaniline.",0.1,0.25
2921.42.15,29214215,,,,"N-Ethylaniline and N,N-diethylaniline.",0.1,0.25
2921.42.16,29214216,,,,"2,4,5-Trichloroaniline.",0.1,0.25
2921.42.18,29214218,,,,o-Aminobenzenesulfonic acid; 6-chlorometanilic acid; 2-chloro-5-nitroaniline; 4-chloro-3-nitroaniline; dichloroanilines; and other specified.,0.1,0.25
2921.42.21,29214221,,,,Metanilic acid.,0.1,0.25
2921.42.22,29214222,,,,Sulfanilic acid.,0.1,0.25
2921.42.23,29214223,,,,"3,4-Dichloroaniline.",0.1,0.25
2921.42.36,29214236,,,,"m-Chloroaniline; 2-chloro-4-nitroaniline; 2,5-dicholoraniline-4-sulfonic acid & its monosodium salt; & other specified aniline derivatives.",0.1,0.25
2921.42.55,29214255,,,,Fast color bases of aniline derivatives and their salts.,0.1,0.25
2921.42.65,29214265,,,,Aniline derivatives and their salts of products in additional U.S. note 3 to section VI.,0.1,0.25
2921.42.90,29214290,,,,Other aniline derivatives and their salts.,0.1,0.25
2921.43.04,29214304,,,,3-Chloro-o-toluidine; and 6-chloro-o-toluidine.,0.1,0.25
2921.43.08,29214308,,,,"4-Chloro-o-toluidine hydrochloride; 5-chloro-o-o-toluidine; 6-chloro-2-toluidine-sulfonic acid; 4-chloro-a,a,a-trifluoro-o-toluidine;& other.",0.1,0.25
2921.43.15,29214315,,,,"alpha,alpha,alpha-Trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine (Trifluralin).",0.1,0.25
2921.43.19,29214319,,,,"alpha,alpha,alpha-Trifluoro-o-toluidine; alpha,alpha,alpha-trifluoro-6-chloro-m-toluidine.",0.1,0.25
2921.43.22,29214322,,,,"N-Ethyl-N-(2-methyl-2-propenyl)-2,6-dinitro-4-(trifluoromethyl)benzenamine.",0.1,0.25
2921.43.24,29214324,,,,2-Amino-5-chloro-4-ethyl-benzenesulfonic acid; 2-amino-5-chloro-p-toluenesulfonic acid; p-nitro-o-toluidine; and 3-(trifluoromethyl)aniline.,0.1,0.25
2921.43.40,29214340,,,,Toluidines and their derivatives; salts thereof; described in additional U.S. note 3 to section VI.,0.1,0.25
2921.43.90,29214390,,,,"Other toluidines and their derivatives; and salts thereof, nesoi.",0.1,0.25
2921.44.05,29214405,,,,"4,4′-Bis(alpha,alpha-dimethlbenzyl)diphenylamine; and N-nitrosodiphenylamine.",0.1,0.25
2921.44.10,29214410,,,,Nitrosodiphenylamine.,0.1,0.25
2921.44.20,29214420,,,,"Diphenylamine and its derivatives (except nitrodiphenylamine); salts thereof, described in additional U.S. note 3 to section VI.",0.1,0.25
2921.44.70,29214470,,,,Diphenylamine and its derivatives; salts thereof; excluding goods in additional U.S. note 3 to section VI.,0.1,0.25
2921.45.10,29214510,,,,"7-Amino-1,3-naphthalenedisulfonic acid, specified naphthalenesulfonic acids and their salts; N-phenyl-2-napthylamine.",0.1,0.25
2921.45.20,29214520,,,,Specified aromatic monoamines and their derivatives; salts thereof.,0.1,0.25
2921.45.25,29214525,,,,Mixture of 5- & 8-amino-2-naphthalenesulfonic acid;2-naphthalamine-o-sulfonic acid;& o-naphthionic acid (1-amino-2-naphthalenesulfonic acid).,0.1,0.25
2921.45.60,29214560,,,,"Aromatic monoamines and their derivatives and salts described in additional U.S. note 3 to section VI, nesoi.",0.1,0.25
2921.45.90,29214590,,,,Aromatic monoamines and their derivatives and salts thereof nesoi.,0.1,0.25
2921.49.10,29214910,,,,"4-Amino-2-stilbenesulfonic acid and its salts, p-ethylaniline; 2,4,6-trimethylaniline (Mesidine); and specified xylidines.",0.1,0.25
2921.49.15,29214915,,,,m-Nitro-p-toluidine.,0.1,0.25
2921.49.45,29214945,,,,"Aromatic monoamines and their derivatives nesoi; salts thereof, described in additional U.S. note 3 to section VI.",0.1,0.25
2921.49.50,29214950,,,,"Aromatic monoamines and their derivatives and salts thereof, nesoi.",0.1,0.25
2921.51.10,29215110,,,,"4-Amino-2-(N,N-diethylamino)toluene hydrochloride; m- and o-phenylenediamine; toluene-2,4- and -2,5-diamine; and toluene-2,5-diamine sulfate.",0.1,0.25
2921.51.20,29215120,,,,"Photographic chemicals of o-, m-, p-phenylenediamine, diaminotoluenes, and their derivatives, and salts thereof.",0.1,0.25
2921.51.30,29215130,,,,"o-, m-, p-Phenylenediamine, diaminotoluenes, and their derivatives, and salts thereof, described in additional U.S. note 3 to section VI.",0.1,0.25
2921.51.50,29215150,,,,"o-, m-, p-Phenylenediamine, and diaminotoluenes and their derivatives, and salts thereof, nesoi.",0.1,0.25
2921.59.04,29215904,,,,"1,8-diaminonaphthalene (1,8-naphthalenediamino).",0.1,0.25
2921.59.08,29215908,,,,"5-Amino-2-(p-aminoanilino)benzenesulfonic acid; 4,4-diamino-3-biphenylsulfonic acid; 3,3-dimethylbenzidine (o-tolidine); & other specified.",0.1,0.25
2921.59.17,29215917,,,,"4,4′-Benzidine-2,2′-disulfonic acid; 1,4-diaminobenzene-2-sulfonic acid; 4,4′-methylenebis-(2,6-diethylaniline); m-xylenediamine; and 1 other.",0.1,0.25
2921.59.20,29215920,,,,"4,4′-Diamino-2,2′-stilbenedisulfonic acid.",0.1,0.25
2921.59.30,29215930,,,,"4,4′-Methylenedianiline.",0.1,0.25
2921.59.40,29215940,,,,"Aromatic polyamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI.",0.1,0.25
2921.59.80,29215980,,,,Aromatic polyamines and their derivatives; salts thereof nesoi.,0.1,0.25
2922.11.00,29221100,,,,Monoethanolamine and its salts.,0.1,0.25
2922.12.00,29221200,,,,Diethanolamine and its salts.,0.1,0.25
2922.15.00,29221500,,,,Triethanolamine.,0.1,0.25
2922.16.00,29221600,,,,Diethylammonium perfluorooctane sulfonate.,0.1,0.25
2922.17.00,29221700,,,,Methyldiethanolamine and ethyldiethanolamine.,0.1,0.25
2922.18.00,29221800,,,,"2-(N,N-Diisopropylamino)ethanol.",0.1,0.25
2922.21.10,29222110,,,,"1-Amino-8-hydroxy-3,6-naphthalenedisulfonic acid; and other specified aminohydroxynaphthalenesulfonic acids and their salts.",0.1,0.25
2922.21.25,29222125,,,,"1-Amino-8-hydroxy-4,6-naphthalenedisulfonic acid, monosodium salts.",0.1,0.25
2922.21.40,29222140,,,,Aminohydroxynaphthalene sulfonic acids and their salts of products described in additional U.S. note 3 to section VI.,0.1,0.25
2922.21.50,29222150,,,,"Aminohydroxynaphthalene sulfonic acids and their salts, nesoi.",0.1,0.25
2922.29.03,29222903,,,,o-Anisidine; p-anisidine; and p-phenetidine.,0.1,0.25
2922.29.06,29222906,,,,m-Nitro-p-anisidine and m-nitro-o-anisidine as fast color bases.,0.1,0.25
2922.29.08,29222908,,,,"m-Nitro-p-anisidine and m-nitro-o-anisidine, nesoi.",0.1,0.25
2922.29.10,29222910,,,,"2-Amino-6-chloro-4-nitrophenol and other specified amino-naphthols and amino-phenols, their ethers and esters; salts thereof.",0.1,0.25
2922.29.13,29222913,,,,"o-Aminophenol; and 2,2-bis-[4-(4-aminophenoxy)phenyl]propane.",0.1,0.25
2922.29.15,29222915,,,,m-Diethylaminophenol; m-dimethylaminophenol; 3-ethylamino-p-cresol; and 5-methoxy-m-phenylenediamine.,0.1,0.25
2922.29.20,29222920,,,,"4-Chloro-2,5-dimethoxyaniline; and 2,4-dimethoxyaniline.",0.1,0.25
2922.29.26,29222926,,,,Amino-naphthols and other amino-phenols and their derivatives used as fast color bases.,0.1,0.25
2922.29.27,29222927,,,,"Drugs of amino-naphthols and -phenols, their ethers and esters, except those cont. more than one oxygen function; salts thereof, nesoi.",0.1,0.25
2922.29.29,29222929,,,,"Photographic chemicals of amino-naphthols and -phenols, their ethers/esters, except those cont. more than one oxygen function; salts, nesoi.",0.1,0.25
2922.29.61,29222961,,,,Amino-naphthols and other amino-phenols and their derivatives of products described in add'l U.S. note 3 to section VI.,0.1,0.25
2922.29.81,29222981,,,,"Amino-naphthols and other amino-phenols; their ethers, esters & salts (not containing more than one oxygen function) thereof nesoi.",0.1,0.25
2922.39.05,29223905,,,,"1-Amino-2,4-dibromoanthraquinone; and 2-Amino-5-chlorobenzophenone.",0.1,0.25
2922.39.10,29223910,,,,"2′-Aminoacetophenone & other specified aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function.",0.1,0.25
2922.39.14,29223914,,,,2-Aminoanthraquinone.,0.1,0.25
2922.39.17,29223917,,,,1-Aminoanthraquinone.,0.1,0.25
2922.39.25,29223925,,,,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function; salts; desc in add U.S. note 3 sec VI.",0.1,0.25
2922.39.45,29223945,,,,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function; salts thereof; nesoi.",0.1,0.25
2922.39.50,29223950,,,,"Nonaromatic amino-aldehydes, -ketones and -quinones, other than those with more than one kind of oxygen function, salts thereof; nesoi.",0.1,0.25
2922.42.10,29224210,,,,Monosodium glutamate.,0.1,0.25
2922.42.50,29224250,,,,"Glutamic acid and its salts, other than monosodium glutamate.",0.1,0.25
2922.43.10,29224310,,,,"Anthranilic acid and its salts, described in additional U.S. note 3 to section VI.",0.1,0.25
2922.43.50,29224350,,,,"Anthranilic acid and its salts, nesoi.",0.1,0.25
2922.49.05,29224905,,,,"(R)-alpha-Aminobenzeneacetic acid; and 2-amino-3-chlorobenzoic acid, methyl ester.",0.1,0.25
2922.49.10,29224910,,,,"m-Aminobenzoic acid, technical; and other specified aromatic amino-acids and their esters, except those with more than one oxygen function.",0.1,0.25
2922.49.26,29224926,,,,"Aromatic amino-acids drugs and their esters, not containing more than one kind of oxygen function, nesoi.",0.1,0.25
2922.49.30,29224930,,,,"Aromatic amino-acids and their esters, excl. those with more than one oxygen function; salts; described in add. U.S. note 3 to sect VI.",0.1,0.25
2922.49.37,29224937,,,,"Aromatic amino-acids and their esters, not contng more than 1 kind of oxygen function (excluding goods in add U.S. note 3 to sec VI), nesoi.",0.1,0.25
2922.49.43,29224943,,,,Glycine (aminoacetic acid).,0.1,0.25
2922.49.49,29224949,,,,"Nonaromatic amino-acids, other than those containing more than one kind of oxygen function, other than glycine.",0.1,0.25
2922.49.60,29224960,,,,"3-Aminocrotonic acid, methyl ester; and (R)-alpha-amino-1,4-cyclohexadiene-1-acetic acid.",0.1,0.25
2922.49.80,29224980,,,,"Non-aromatic esters of amino-acids, other than those containing more than one kind of oxygen function; salts thereof.",0.1,0.25
2923.10.00,29231000,,,,Choline and its salts.,0.1,0.25
2923.20.10,29232010,,,,"Purified egg phospholipids, pharmaceutical grade meeting requirements of the U.S. FDA for use in intravenous fat emulsion.",0.1,0.25
2923.20.20,29232020,,,,"Lecithins and other phosphoaminolipids, nesoi.",0.1,0.25
2923.30.00,29233000,,,,Tetraethylammonium perfluorooctane sulfonate.,0.1,0.25
2923.40.00,29234000,,,,Didecylmethylammonium perfluorooctane sulfonate.,0.1,0.25
2923.90.01,29239001,,,,"Quaternary ammonium salts and hydroxides, whether or not chemically defined, nesoi.",0.1,0.25
2924.12.00,29241200,,,,"Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO).",0.1,0.25
2924.19.11,29241911,,,,Acyclic amides (including acyclic carbamates).,0.1,0.25
2924.19.80,29241980,,,,Acyclic amide derivatives; salts thereof; nesoi.,0.1,0.25
2924.21.04,29242104,,,,"3-(p-Chlorophenyl)-1,1-dimethylurea (Monuron).",0.1,0.25
2924.21.08,29242108,,,,"1,1-Diethyl-3-(alpha,alpha,alpah-trifluoro-m-tolyl)urea (Fluometuron).",0.1,0.25
2924.21.12,29242112,,,,1-(2-Methylcyclohexyl)-3-phenylurea.,0.1,0.25
2924.21.16,29242116,,,,"Aromatic ureines and their derivatives pesticides, nesoi.",0.1,0.25
2924.21.18,29242118,,,,sym-Diethyldiphenylurea.,0.1,0.25
2924.21.20,29242120,,,,Aromatic ureines and their derivatives; salts thereof; described in additional U.S. note 3 to section VI.,0.1,0.25
2924.21.45,29242145,,,,"Aromatic ureines and their derivatives; salts thereof, nesoi.",0.1,0.25
2924.21.50,29242150,,,,Nonaromatic ureines and their derivatives; and salts thereof.,0.1,0.25
2924.23.10,29242310,,,,2-Acetamidobenzoic acid.,0.1,0.25
2924.23.70,29242370,,,,2-Acetamidobenzoic acid salts described in additional U.S. note 3 to section VI.,0.1,0.25
2924.23.75,29242375,,,,"2-Acetamidobenzoic acid salts, nesoi.",0.1,0.25
2924.25.00,29242500,,,,Alachlor (ISO).,0.1,0.25
2924.29.01,29242901,,,,"p-Acetanisidide; p-acetoacetatoluidide; 4′-amino-N-methylacetanilide; 2,5-dimethoxyacetanilide; and N-(7-hydroxy-1-naphthyl)acetamide.",0.1,0.25
2924.29.03,29242903,,,,"3,5-Dinitro-o-toluamide.",0.1,0.25
2924.29.10,29242910,,,,"Acetanilide; N-acetylsulfanilyl chloride; aspartame; and 2-methoxy-5-acetamino-N,N-bis(2-acetoxyethyl)aniline.",0.1,0.25
2924.29.20,29242920,,,,"2-Acetamido-3-chloroanthraquinone; o-acetoacetaidide; o-acetoacetotoluidide; 2,4-acetoacetoxylidide; and 1-amino-5-benzamidoanthraquinone.",0.1,0.25
2924.29.23,29242923,,,,"4-Aminoacetanilide; 2-2-oxamidobis[ethyl-3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate]; and other specified cyclic amide chemicals.",0.1,0.25
2924.29.26,29242926,,,,3-Aminomethoxybenzanilide.,0.1,0.25
2924.29.28,29242928,,,,"N-[[(4-Chlorophenyl)amino]carbonyl]difluorobenzamide; and 3,5-dichloro-N-(1,1-dimethyl-2-propynyl)benzamide (pronamide).",0.1,0.25
2924.29.31,29242931,,,,"4-Acetamido-2-aminophenol; p-acetaminobenzaldehyde; acetoacetbenzylamide; p-acetoacetophenetidide; N-acetyl-2,6-xylidine; & other specified.",0.1,0.25
2924.29.33,29242933,,,,3-Hydroxy-2-naphthanilide; 3-hydroxy-2-naphtho-o-toluidide; 3-hydroxy-2-naphtho-o-anisidine; 3-hydroxy-2-naphtho-o-phenetidide; & other.,0.1,0.25
2924.29.43,29242943,,,,3-Ethoxycarbonylaminophenyl-N-phenylcarbamate (desmedipham); and Isopropyl-N-(3-chlorophenyl)carbamate (CIPC).,0.1,0.25
2924.29.47,29242947,,,,Other cyclic amides used as pesticides.,0.1,0.25
2924.29.65,29242965,,,,5-Bromoacetyl-2-salicylamide.,0.1,0.25
2924.29.71,29242971,,,,"Aromatic cyclic amides and their derivatives of products described in additional U.S. note 3 to section VI, nesoi.",0.1,0.25
2924.29.77,29242977,,,,"Aromatic cyclic amides (incl cyclic carbamates) and their derivatives and salts thereof, nesoi.",0.1,0.25
2924.29.80,29242980,,,,"2,2-Dimethylcyclopropylcarboxamide.",0.1,0.25
2924.29.95,29242995,,,,Other nonaromatic cyclic amides and their derivatives; salts thereof; nesoi.,0.1,0.25
2925.11.00,29251100,,,,Saccharin and its salts.,0.1,0.25
2925.19.10,29251910,,,,Ethylenebistetrabromophthalimide.,0.1,0.25
2925.19.30,29251930,,,,"Bis(o-tolyl)carbodiimide; and 2,2,6,6-tetraisopropyldiphenylcarbodiimide.",0.1,0.25
2925.19.42,29251942,,,,Other aromatic imides and their derivatives; salts thereof; nesoi.,0.1,0.25
2925.19.70,29251970,,,,"N-Chlorosuccinimide; and N,N-ethylenebis(5,6-dibromo-2,3-norbornanedicarbooximide.",0.1,0.25
2925.19.91,29251991,,,,Other non-aromatic imides and their derivatives.,0.1,0.25
2925.21.00,29252100,,,,Chlordimeform (ISO).,0.1,0.25
2925.29.10,29252910,,,,"N′-(4-Chloro-o-tolyl)-N,N-dimethylformamidine; bunamidine hydrochloride; and pentamidine.",0.1,0.25
2925.29.18,29252918,,,,"N,N′-diphenylguanidine; 3-dimethylaminomethyleneiminophenol hydrochloride; 1,3-di-o-tolyguandidine; and one other specified chemical.",0.1,0.25
2925.29.20,29252920,,,,"Aromatic drugs of imines and their derivatives, nesoi.",0.1,0.25
2925.29.60,29252960,,,,Aromatic imines and their derivatives; salts thereof (excluding drugs); nesoi.,0.1,0.25
2925.29.70,29252970,,,,Tetramethylguanidine.,0.1,0.25
2925.29.90,29252990,,,,Non-aromatic imines and their derivatives; salts thereof.,0.1,0.25
2926.10.00,29261000,,,,Acrylonitrile.,0.1,0.25
2926.20.00,29262000,,,,1-Cyanoguanidine (Dicyandiamide).,0.1,0.25
2926.30.10,29263010,,,,Fenproporex (INN) and its salts.,0.1,0.25
2926.30.20,29263020,,,,"4-Cyano-2-dimethylamino-4,4-diphenylbutane.",0.1,0.25
2926.90.01,29269001,,,,2-Cyano-4-nitroaniline.,0.1,0.25
2926.90.05,29269005,,,,2-Amino-4-chlorobenzonitrile (5-chloro-2-cyanoaniline); 2-amino-5-chlorobenzonitrile; 4-amino-2-chlorobenzonitrile; and others specified.,0.1,0.25
2926.90.08,29269008,,,,Benzonitrile.,0.1,0.25
2926.90.11,29269011,,,,"2,6-Diclorobenzonitrile.",0.1,0.25
2926.90.12,29269012,,,,Other dichlorobenzonitriles.,0.1,0.25
2926.90.14,29269014,,,,p-Chlorobenzonitrile and verapamil hydrochloride.,0.1,0.25
2926.90.16,29269016,,,,Specifically named derivative of dimethylcyclopropanecarboxylic acid.,0.1,0.25
2926.90.17,29269017,,,,o-Chlorobenzonitrile.,0.1,0.25
2926.90.19,29269019,,,,"N,N-Bis(2-cyanoethyl)aniline; and 2,6-diflourobenzonitrile.",0.1,0.25
2926.90.21,29269021,,,,Aromatic fungicides of nitrile-function compounds.,0.1,0.25
2926.90.23,29269023,,,,"3,5-Dibromo-4-hydroxybenzonitrile (Bromoxynil).",0.1,0.25
2926.90.25,29269025,,,,"Aromatic herbicides of nitrile-function compounds, nesoi.",0.1,0.25
2926.90.30,29269030,,,,Other aromatic nitrile-function pesticides.,0.1,0.25
2926.90.43,29269043,,,,"Aromatic nitrile-function compounds, nesoi, described in additional U.S. note 3 to section VI.",0.1,0.25
2926.90.48,29269048,,,,"Aromatic nitrile-function compounds other than those products in additional U.S. note 3 to section VI, nesoi.",0.1,0.25
2926.90.50,29269050,,,,"Nonaromatic nitrile-function compounds, nesoi.",0.1,0.25
2927.00.03,29270003,,,,"4-Aminoazobenzenedisulfonic acid, monosodium salt.",0.1,0.25
2927.00.06,29270006,,,,"p-Aminoazobenzenedisulfonic acid; and diazoaminobenzene (1,3-diphenyltriazine).",0.1,0.25
2927.00.15,29270015,,,,"1,1′-Azobisformamide.",0.1,0.25
2927.00.18,29270018,,,,"1-Naphthalenesulfonic acid, 6-diazo-5,6-dihydro-5-oxo, ester with phenyl compound; and three other specified chemicals.",0.1,0.25
2927.00.25,29270025,,,,"Diazo-, azo- or azoxy-compounds used as photographic chemicals.",0.1,0.25
2927.00.30,29270030,,,,"Fast color bases and fast color salts, of diazo-, azo- or azoxy-compounds.",0.1,0.25
2927.00.40,29270040,,,,"Diazo-, azo- or azoxy-compounds, nesoi, described in additional U.S. note 3 to section VI.",0.1,0.25
2927.00.50,29270050,,,,"Other diazo-, azo- or azoxy-compounds, nesoi.",0.1,0.25
2928.00.15,29280015,,,,Phenylhydrazine.,0.1,0.25
2928.00.25,29280025,,,,Aromatic organic derivatives of hydrazine or of hydroxylamine.,0.1,0.25
2928.00.30,29280030,,,,"Nonaromatic drugs of organic derivatives of hydrazine or of hydroxylamine, other than Methyl ethyl ketoxime.",0.1,0.25
2928.00.50,29280050,,,,"Nonaromatic organic derivatives of hydrazine or of hydroxylamine, nesoi.",0.1,0.25
2929.10.10,29291010,,,,Toluenediisocyanates (unmixed).,0.1,0.25
2929.10.15,29291015,,,,"Mixtures of 2,4- and 2,6-toluenediisocyanates.",0.1,0.25
2929.10.20,29291020,,,,"Bitolylene diisocyanate (TODI); o-Isocyanic acid, o-tolyl ester; and Xylene diisocyanate.",0.1,0.25
2929.10.27,29291027,,,,"N-Butylisocyanate; cyclohexyl isocyanate; 1-isocyanato-3-(trifluoromethyl)benzene; 1,5-naphthalene diisocyanate; and octadecyl isocyanate.",0.1,0.25
2929.10.30,29291030,,,,"3,4-Dichlorophenylisocyanate.",0.1,0.25
2929.10.35,29291035,,,,"1,6-Hexamethylene diisocyanate.",0.1,0.25
2929.10.55,29291055,,,,Isocyanates of products described in additioonal U.S. note 3 to sect VI.,0.1,0.25
2929.10.80,29291080,,,,"Other isocyanates, nesoi.",0.1,0.25
2929.90.05,29299005,,,,"2,2-Bis(4-cyanatophenyl)-1,1,1,3,3,3,-hexafluoropropane; 2,2-bis(4-cyanatophenyl)propane; 1,1-ethylidenebis(phenyl-4-cyanate); and 2 others.",0.1,0.25
2929.90.15,29299015,,,,Other aromatic compounds with other nitrogen function of products described in additional U.S. note 3 to section VI.,0.1,0.25
2929.90.20,29299020,,,,"Aromatic compounds with other nitrogen function, nesoi.",0.1,0.25
2929.90.50,29299050,,,,"Nonaromatic compounds with other nitrogen functions, except isocyanates.",0.1,0.25
2930.20.10,29302010,,,,Aromatic pesticides of thiocarbamates and dithiocarbamates.,0.1,0.25
2930.20.20,29302020,,,,"Aromatic compounds of thiocarbamates and dithiocarbamates, excluding pesticides.",0.1,0.25
2930.20.70,29302070,,,,"S-(2,3,3-trichloroallyl)diisopropylthiocarbamate.",0.1,0.25
2930.20.90,29302090,,,,Other non-aromatic thiocarbamates and dithiocarbamates.,0.1,0.25
2930.30.30,29303030,,,,Tetramethylthiuram monosulfide.,0.1,0.25
2930.30.60,29303060,,,,"Thiuram mono-, di- or tetrasulfides, other than tetramethylthiuram monosulfide.",0.1,0.25
2930.40.00,29304000,,,,Methionine.,0.1,0.25
2930.60.00,29306000,,,,"2-(N,N-Diethylamino)ethanethiol.",0.1,0.25
2930.70.00,29307000,,,,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)).,0.1,0.25
2930.80.00,29308000,,,,"Aldicarb (ISO), captafol (ISO) and methamidophos (ISO).",0.1,0.25
2930.90.10,29309010,,,,"Aromatic pesticides of organo-sulfur compounds, nesoi.",0.1,0.25
2930.90.24,29309024,,,,N-Cyclohexylthiophthalimide.,0.1,0.25
2930.90.26,29309026,,,,"3-(4-Aminobenzamido)phenyl-beta-hydroxyethylsulfone; 2-[(4-aminophenyl)sulfonyl]ethanol, hydrogen sulfate ester; diphenylthiourea; & others.",0.1,0.25
2930.90.29,29309029,,,,Other aromatic organo-sulfur compounds (excluding pesticides).,0.1,0.25
2930.90.30,29309030,,,,"Thiocyanates, thiurams and isothiocyanates.",0.1,0.25
2930.90.42,29309042,,,,"O,O-Dimethyl-S-methylcarbamoylmethyl phosphorodithioate; and malathion.",0.1,0.25
2930.90.43,29309043,,,,Other non-aromatic organo-sulfur compounds used as pesticides.,0.1,0.25
2930.90.46,29309046,,,,dl(underscored)-Hydroxy analog of dl(underscored)-methionine.,0.1,0.25
2930.90.49,29309049,,,,"Nonaromatic organo-sulfur acids, nesoi.",0.1,0.25
2930.90.71,29309071,,,,Dibutylthiourea.,0.1,0.25
2930.90.91,29309091,,,,Other non-aromatic organo-sulfur compounds.,0.1,0.25
2931.10.00,29311000,,,,Tetramethyl lead & tetraethyl lead.,0.1,0.25
