HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0302.56.50,03025650,,,blue whitings,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.59.11,03025911,,,,"Bregmacerotidae et al. fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing <6.8 kg.",0.1,0.25
0302.59.50,03025950,,,,"Bregmacerotidae fish, etc. excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers >6.8 kg.",0.1,0.25
0302.71.11,03027111,,,Tilapias,"Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg.",0.1,0.25
0302.71.50,03027150,,,Tilapias,"Tilapias, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.72.11,03027211,,,catfish,"Catfish, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.72.50,03027250,,,catfish,"Catfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.73.11,03027311,,,carp,"Carp, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.73.50,03027350,,,carp,"Carp excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.74.00,03027400,,,eels,"Eels, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.79.11,03027911,,,*,"Fish beginning 0302.7, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers <6.8 kg.",0.1,0.25
0302.79.50,03027950,,,*,"Fish beginning 0302.7, nesoi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in containers >6.8 kg.",0.1,0.25
